timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2025-12-15T08:05:00Z,124.8,0.0,Fitbit App
2025-12-15T08:10:00Z,144.8,0.0,Fitbit App
2025-12-15T08:15:00Z,113.4,0.0,Fitbit App
2025-12-15T08:20:00Z,132.2,0.0,Fitbit App
2025-12-15T08:25:00Z,112.1,0.0,Fitbit App
2025-12-15T08:30:00Z,95.9,0.0,Fitbit App
2025-12-15T08:35:00Z,107.1,0.0,Fitbit App
2025-12-15T08:40:00Z,104.8,0.0,Fitbit App
2025-12-15T08:45:00Z,106.6,0.0,Fitbit App
2025-12-15T08:50:00Z,82.5,0.0,Fitbit App
2025-12-15T08:55:00Z,83.5,0.0,Fitbit App
2025-12-15T09:00:00Z,79.8,0.0,Fitbit App
2025-12-15T09:05:00Z,74.2,0.0,Fitbit App
2025-12-15T09:10:00Z,59.1,0.0,Fitbit App
2025-12-15T09:15:00Z,66.9,0.0,Fitbit App
2025-12-15T09:20:00Z,64.7,0.0,Fitbit App
2025-12-15T09:25:00Z,73.2,0.0,Fitbit App
2025-12-15T09:30:00Z,67.0,0.0,Fitbit App
2025-12-15T09:35:00Z,78.0,0.0,Fitbit App
2025-12-15T09:40:00Z,62.6,0.0,Fitbit App
2025-12-15T09:45:00Z,82.1,0.0,Fitbit App
2025-12-15T09:50:00Z,68.4,0.0,Fitbit App
2025-12-15T09:55:00Z,63.9,0.0,Fitbit App
2025-12-15T10:00:00Z,80.9,0.0,Fitbit App
2025-12-15T10:05:00Z,67.0,0.0,Fitbit App
2025-12-15T10:10:00Z,65.9,0.0,Fitbit App
2025-12-15T10:15:00Z,69.2,0.0,Fitbit App
2025-12-15T10:20:00Z,85.2,0.0,Fitbit App
2025-12-15T10:25:00Z,96.3,0.0,Fitbit App
2025-12-15T10:30:00Z,75.1,0.0,Fitbit App
2025-12-15T10:40:00Z,102.9,0.0,Fitbit App
2025-12-15T10:45:00Z,87.2,0.0,Fitbit App
2025-12-15T10:50:00Z,89.9,0.0,Fitbit App
2025-12-15T10:55:00Z,97.2,0.0,Fitbit App
2025-12-15T11:00:00Z,94.7,0.0,Fitbit App
2025-12-15T11:05:00Z,85.2,0.0,Fitbit App
2025-12-15T11:10:00Z,53.9,0.0,Fitbit App
2025-12-15T11:15:00Z,35.5,0.0,Fitbit App
2025-12-15T11:35:00Z,85.2,0.0,Fitbit App
2025-12-15T11:40:00Z,90.1,0.0,Fitbit App
2025-12-15T11:45:00Z,96.9,0.0,Fitbit App
2025-12-15T11:50:00Z,86.5,0.0,Fitbit App
2025-12-15T11:55:00Z,87.1,0.0,Fitbit App
2025-12-15T12:00:00Z,91.2,0.0,Fitbit App
2025-12-15T12:05:00Z,90.9,0.0,Fitbit App
2025-12-15T12:10:00Z,94.8,0.0,Fitbit App
