timestamp,deep sleep stats - milli breaths per minute,deep sleep stats - standard deviation milli breaths per minute,deep sleep stats - signal to noise,light sleep stats - milli breaths per minute,light sleep stats - standard deviation milli breaths per minute,light sleep stats - signal to noise,rem sleep stats - milli breaths per minute,rem sleep stats - standard deviation milli breaths per minute,rem sleep stats - signal to noise,full sleep stats - milli breaths per minute,full sleep stats - standard deviation milli breaths per minute,full sleep stats - signal to noise,data source
2025-11-01T13:25:30Z,18.2,0.9,8.5,17.4,1.8,10.1,16.6,1.9,6.1,18.2,0.9,8.5,Fitbit App
2025-11-02T14:34:30Z,18.6,1.3,7.2,18.2,0.9,7.1,17.6,1.4,3.9,18.6,1.3,7.2,Fitbit App
2025-11-03T15:25:30Z,18.2,1.5,10.3,17.4,1.7,12.9,15.8,0.6,2.8,18.2,1.5,10.3,Fitbit App
2025-11-04T15:33:30Z,17.8,1.3,7.3,17.4,2.0,9.9,16.0,0.9,3.3,17.8,1.3,7.3,Fitbit App
2025-11-05T14:48:30Z,17.6,1.3,12.6,17.4,1.6,9.0,17.4,1.7,4.0,17.6,1.3,12.6,Fitbit App
2025-11-05T16:37:30Z,17.6,1.3,13.7,17.4,1.6,12.8,17.4,1.7,4.1,17.6,1.3,13.7,Fitbit App
2025-11-06T15:43:30Z,18.2,1.2,10.8,18.4,1.5,11.2,17.2,0.4,3.6,18.2,1.2,10.8,Fitbit App
2025-11-07T16:33:30Z,18.6,1.1,8.0,18.4,1.3,8.2,17.6,2.2,4.8,18.6,1.1,8.0,Fitbit App
2025-11-08T15:29:00Z,18.0,1.1,9.5,17.4,1.6,9.0,18.6,2.7,4.7,18.0,1.1,9.5,Fitbit App
2025-11-09T14:48:00Z,16.0,1.3,8.5,16.6,1.4,10.8,16.4,1.4,3.2,16.0,1.3,8.5,Fitbit App
2025-11-10T15:24:30Z,17.4,1.0,10.5,16.4,1.4,14.6,16.6,2.2,4.7,17.4,1.0,10.5,Fitbit App
2025-11-11T12:18:30Z,16.8,1.0,9.4,17.0,1.3,9.0,17.6,1.9,3.8,16.8,1.0,9.4,Fitbit App
2025-11-11T15:33:30Z,16.8,1.0,9.2,17.0,1.5,10.3,16.2,0.5,2.5,16.8,1.0,9.2,Fitbit App
2025-11-12T15:45:00Z,17.2,1.3,10.8,17.2,1.4,8.5,17.0,2.1,5.0,17.2,1.3,10.8,Fitbit App
2025-11-13T15:12:00Z,18.0,1.1,8.5,17.4,1.7,9.4,15.4,1.7,5.9,18.0,1.1,8.5,Fitbit App
2025-11-15T16:04:30Z,18.2,2.0,11.4,16.6,1.7,5.4,17.2,1.5,3.9,18.2,2.0,11.4,Fitbit App
2025-11-16T15:54:30Z,17.8,1.5,11.7,17.4,1.6,8.7,0.0,0.0,0.0,17.8,1.5,11.7,Fitbit App
2025-11-17T15:52:30Z,16.8,1.0,8.9,16.4,1.3,10.1,16.2,1.0,3.1,16.8,1.0,8.9,Fitbit App
2025-11-18T15:36:00Z,17.6,1.1,9.3,16.8,1.6,9.6,16.6,1.1,4.1,17.6,1.1,9.3,Fitbit App
2025-11-19T16:23:00Z,17.4,1.5,12.7,17.2,1.0,10.7,16.8,1.2,4.8,17.4,1.5,12.7,Fitbit App
2025-11-20T15:32:30Z,18.0,1.3,10.5,17.0,1.7,7.7,0.0,0.0,0.0,18.0,1.3,10.5,Fitbit App
2025-11-21T17:34:30Z,17.2,1.6,9.2,17.0,2.0,9.6,17.2,1.3,5.2,17.2,1.6,9.2,Fitbit App
2025-11-22T18:31:30Z,19.8,0.8,9.2,0.0,0.0,0.0,0.0,0.0,0.0,19.8,0.8,9.2,Fitbit App
2025-11-23T18:56:30Z,20.2,1.2,5.0,17.6,2.1,8.1,0.0,0.0,0.0,20.2,1.2,5.0,Fitbit App
2025-11-24T16:51:00Z,17.6,0.9,13.5,17.2,1.7,12.7,0.0,0.0,0.0,17.6,0.9,13.5,Fitbit App
2025-11-25T15:21:00Z,18.4,1.3,13.7,17.6,1.7,9.3,0.0,0.0,0.0,18.4,1.3,13.7,Fitbit App
2025-11-26T14:45:00Z,18.0,1.0,11.0,18.2,1.5,11.6,0.0,0.0,0.0,18.0,1.0,11.0,Fitbit App
2025-11-27T16:01:30Z,18.2,0.9,11.5,17.8,1.2,14.2,18.0,1.7,4.3,18.2,0.9,11.5,Fitbit App
2025-11-27T16:10:30Z,18.2,0.9,11.5,17.8,1.2,14.2,18.0,1.7,4.3,18.2,0.9,11.5,Fitbit App
2025-11-28T16:31:30Z,18.4,1.0,10.2,17.6,1.9,9.5,15.6,2.7,5.5,18.4,1.0,10.2,Fitbit App
2025-11-29T15:54:30Z,18.4,1.4,10.0,17.6,2.0,11.5,18.4,1.6,4.7,18.4,1.4,10.0,Fitbit App
