timestamp,deep sleep stats - milli breaths per minute,deep sleep stats - standard deviation milli breaths per minute,deep sleep stats - signal to noise,light sleep stats - milli breaths per minute,light sleep stats - standard deviation milli breaths per minute,light sleep stats - signal to noise,rem sleep stats - milli breaths per minute,rem sleep stats - standard deviation milli breaths per minute,rem sleep stats - signal to noise,full sleep stats - milli breaths per minute,full sleep stats - standard deviation milli breaths per minute,full sleep stats - signal to noise,data source
2025-09-01T08:08:00Z,18.4,1.1,13.882,17.8,1.4,6.768,17.2,1.8,5.419,18.4,1.1,13.882,Fitbit App
2025-09-02T08:35:30Z,17.4,1.1,8.611,16.8,1.5,13.088,19.4,0.5,2.549,17.4,1.1,8.611,Fitbit App
2025-09-03T08:36:30Z,18.2,1.4,13.45,17.4,1.8,11.809,16.8,2.6,5.853,18.2,1.4,13.45,Fitbit App
2025-09-04T08:00:30Z,17.2,0.8,14.189,16.6,1.3,12.349,16.8,0.7,3.321,17.2,0.8,14.189,Fitbit App
2025-09-05T07:12:00Z,16.4,1.1,9.992,17.0,1.6,10.808,17.0,3.2,4.738,16.4,1.1,9.992,Fitbit App
2025-09-06T05:39:30Z,18.2,0.9,10.525,17.4,1.6,9.607,-1.0,0.0,1.596,18.2,0.9,10.525,Fitbit App
2025-09-07T07:02:30Z,17.2,1.1,9.377,16.0,1.4,13.288,17.0,2.1,6.145,17.2,1.1,9.377,Fitbit App
2025-09-08T06:32:00Z,16.8,1.1,10.876,16.2,1.4,10.131,-1.0,0.0,1.762,16.8,1.1,10.876,Fitbit App
2025-09-08T08:35:30Z,16.8,1.0,11.855,16.2,2.0,9.406,-1.0,0.0,2.302,16.8,1.0,11.855,Fitbit App
2025-09-09T08:02:30Z,17.2,1.3,11.336,17.8,1.5,10.771,19.4,3.1,6.722,17.2,1.3,11.336,Fitbit App
2025-09-10T08:28:30Z,19.0,1.1,8.49,-1.0,0.0,2.184,-1.0,0.0,1.822,19.0,1.1,8.49,Fitbit App
2025-09-11T06:51:00Z,18.0,1.8,10.174,18.2,1.6,12.716,-1.0,0.0,1.747,18.0,1.8,10.174,Fitbit App
2025-09-12T07:55:30Z,17.4,1.2,11.223,17.2,1.8,9.193,-1.0,0.0,2.347,17.4,1.2,11.223,Fitbit App
2025-09-13T08:08:00Z,18.0,0.9,9.991,17.8,1.5,9.015,-1.0,0.0,1.883,18.0,0.9,9.991,Fitbit App
2025-09-14T08:12:30Z,17.2,1.2,11.023,17.4,1.6,9.295,-1.0,0.0,2.483,17.2,1.2,11.023,Fitbit App
2025-09-15T07:49:30Z,17.4,1.5,10.521,17.6,1.3,10.739,16.8,0.7,3.256,17.4,1.5,10.521,Fitbit App
2025-09-16T07:02:30Z,16.8,1.3,6.956,17.0,0.8,7.407,-1.0,0.0,2.448,16.8,1.3,6.956,Fitbit App
2025-09-16T08:49:00Z,17.0,1.4,8.208,16.6,1.5,12.42,19.8,0.4,2.725,17.0,1.4,8.208,Fitbit App
2025-09-17T08:26:30Z,17.4,0.9,11.665,16.8,1.6,12.251,17.0,0.8,2.816,17.4,0.9,11.665,Fitbit App
2025-09-18T07:35:30Z,16.4,1.2,12.801,16.8,1.1,8.586,17.6,2.4,4.892,16.4,1.2,12.801,Fitbit App
2025-09-19T08:29:30Z,17.2,1.7,11.895,17.0,1.8,10.541,16.8,1.0,4.665,17.2,1.7,11.895,Fitbit App
2025-09-19T15:26:30Z,17.4,1.6,11.3,17.0,1.7,7.7,22.0,0.6,2.5,17.4,1.6,11.3,Fitbit App
2025-09-20T06:27:30Z,17.8,0.8,9.137,17.0,1.5,13.236,17.0,0.6,3.039,17.8,0.8,9.137,Fitbit App
2025-09-21T06:34:00Z,18.0,1.5,9.144,17.4,1.1,9.627,-1.0,0.0,1.346,18.0,1.5,9.144,Fitbit App
2025-09-22T04:35:00Z,18.6,1.3,7.586,20.2,0.7,5.143,-1.0,0.0,2.4,18.6,1.3,7.586,Fitbit App
2025-09-22T09:09:00Z,18.6,1.4,3.989,17.8,2.0,8.553,-1.0,0.0,2.377,17.8,2.0,8.553,Fitbit App
2025-09-23T07:29:30Z,18.0,1.3,11.397,17.6,1.3,13.956,18.2,0.8,4.772,18.0,1.3,11.397,Fitbit App
2025-09-23T14:34:30Z,18.2,1.4,8.8,17.4,1.3,9.8,-1.0,-1.0,-1.0,18.2,1.4,8.8,Fitbit App
2025-09-24T09:36:00Z,19.2,1.9,7.107,17.8,1.0,8.087,-1.0,0.0,2.335,19.2,1.9,7.107,Fitbit App
2025-09-24T17:06:30Z,17.8,0.5,4.8,17.6,1.8,5.2,17.2,0.6,6.8,17.8,0.5,4.8,Fitbit App
2025-09-25T07:18:30Z,18.0,0.7,4.597,17.2,1.3,9.333,18.4,0.5,5.242,18.0,0.7,4.597,Fitbit App
2025-09-25T14:29:30Z,17.2,1.5,6.5,17.2,1.4,7.9,17.8,1.4,6.0,17.2,1.5,6.5,Fitbit App
2025-09-26T08:45:00Z,18.6,0.9,9.287,17.8,1.6,7.51,16.8,1.5,3.72,18.6,0.9,9.287,Fitbit App
2025-09-26T15:45:00Z,18.4,0.9,7.8,18.0,1.3,7.5,-1.0,-1.0,-1.0,18.4,0.9,7.8,Fitbit App
2025-09-27T08:23:00Z,20.2,1.4,8.693,19.8,0.6,5.176,18.8,0.9,6.081,20.2,1.4,8.693,Fitbit App
2025-09-27T15:38:30Z,-1.0,-1.0,-1.0,12.8,0.4,3.3,19.0,0.7,6.9,12.8,0.4,3.3,Fitbit App
2025-09-28T07:43:30Z,17.4,1.0,14.382,16.8,1.5,7.927,-1.0,0.0,1.989,17.4,1.0,14.382,Fitbit App
2025-09-28T14:43:30Z,17.4,1.1,11.9,17.0,1.4,15.2,15.2,1.4,3.9,17.4,1.1,11.9,Fitbit App
2025-09-29T07:28:00Z,18.0,1.2,11.509,17.2,1.9,10.728,17.0,1.8,4.078,18.0,1.2,11.509,Fitbit App
2025-09-29T14:28:30Z,17.8,1.4,10.8,17.4,1.8,8.7,15.8,0.6,4.2,17.8,1.4,10.8,Fitbit App
2025-09-30T07:15:30Z,17.2,0.8,8.136,17.2,1.3,10.84,-1.0,0.0,2.351,17.2,0.8,8.136,Fitbit App
2025-09-30T14:13:30Z,17.2,1.0,12.1,17.4,1.0,12.0,-1.0,-1.0,-1.0,17.2,1.0,12.1,Fitbit App
