timestamp,rmssd,coverage,low_frequency,high_frequency
2025-10-07T01:45:00,84.833,0.955,2134.107,1104.86
2025-10-07T01:50:00,102.44,0.96,679.945,1202.98
2025-10-07T01:55:00,108.654,0.952,892.151,1616.707
2025-10-07T02:00:00,136.09,1.0,667.949,3237.27
2025-10-07T02:05:00,136.313,0.987,344.016,3026.006
2025-10-07T02:10:00,144.51,0.949,465.404,2776.217
2025-10-07T02:15:00,139.673,0.995,933.062,2881.68
2025-10-07T02:20:00,125.002,0.914,3034.698,2104.655
2025-10-07T02:25:00,59.295,1.005,706.751,682.504
2025-10-07T02:30:00,89.469,0.999,833.292,1704.935
2025-10-07T02:35:00,86.381,1.004,553.35,1272.663
2025-10-07T02:40:00,101.898,0.784,5968.818,1566.259
2025-10-07T02:45:00,83.031,0.959,1744.835,1151.824
2025-10-07T02:50:00,44.926,0.998,747.491,412.336
2025-10-07T02:55:00,47.783,0.933,1396.747,463.908
2025-10-07T03:00:00,61.466,1.004,1199.082,994.974
2025-10-07T03:05:00,70.662,0.998,553.452,860.985
2025-10-07T03:10:00,74.172,1.004,650.435,1232.838
2025-10-07T03:15:00,78.71,1.003,759.473,1269.375
2025-10-07T03:20:00,82.031,0.987,846.903,1014.849
2025-10-07T03:25:00,94.103,0.884,1085.668,1378.273
2025-10-07T03:30:00,66.506,0.979,451.616,673.621
2025-10-07T03:35:00,79.356,1.003,785.472,1000.166
2025-10-07T03:40:00,75.873,0.945,1338.103,946.202
2025-10-07T03:45:00,85.481,1.004,907.203,1386.393
2025-10-07T03:50:00,79.802,1.002,311.492,1024.636
2025-10-07T03:55:00,86.61,0.95,7592.804,1248.297
2025-10-07T04:00:00,67.334,1.003,2222.408,1087.55
2025-10-07T04:05:00,38.432,0.942,1604.955,249.763
2025-10-07T04:10:00,68.769,0.94,2429.456,1041.599
2025-10-07T04:15:00,89.35,0.836,3925.52,1123.682
2025-10-07T04:20:00,85.251,0.941,4882.444,1246.549
2025-10-07T04:25:00,97.683,0.934,2228.378,1388.037
2025-10-07T04:30:00,101.161,1.003,3677.401,1565.45
2025-10-07T04:35:00,82.641,1.0,944.568,1159.816
2025-10-07T04:40:00,87.281,0.969,547.043,1045.319
2025-10-07T04:45:00,91.391,0.873,1350.492,1369.224
2025-10-07T04:50:00,89.412,0.99,765.537,1304.028
2025-10-07T04:55:00,79.702,1.001,681.955,1096.556
2025-10-07T05:00:00,65.473,1.004,654.544,730.389
2025-10-07T05:05:00,71.827,1.002,922.163,799.86
2025-10-07T05:10:00,76.886,1.002,966.056,968.481
2025-10-07T05:15:00,71.942,1.005,935.539,823.696
2025-10-07T05:20:00,72.351,0.999,870.403,920.054
2025-10-07T05:25:00,96.745,0.893,8829.669,1357.936
2025-10-07T05:30:00,81.202,0.966,2846.511,1052.973
2025-10-07T05:35:00,58.642,1.004,1547.068,603.388
2025-10-07T05:40:00,59.937,0.955,1904.188,492.461
2025-10-07T05:45:00,71.748,1.006,4841.851,954.777
2025-10-07T05:55:00,54.969,0.977,1898.235,564.085
2025-10-07T06:00:00,57.103,0.872,931.26,354.105
2025-10-07T06:05:00,85.638,0.967,1997.535,1230.015
2025-10-07T06:10:00,85.847,0.908,1550.153,1126.83
2025-10-07T06:15:00,83.637,0.99,1758.311,1166.205
2025-10-07T06:20:00,71.299,1.004,1216.043,795.895
2025-10-07T06:25:00,104.709,0.843,5644.502,1933.862
2025-10-07T06:30:00,75.932,0.966,3755.068,1135.504
2025-10-07T06:35:00,78.311,0.89,2719.498,963.021
2025-10-07T06:45:00,75.094,0.986,7383.168,1149.575
2025-10-07T07:00:00,88.744,0.721,6311.879,1025.103
2025-10-07T07:05:00,84.448,0.988,4297.536,1384.819
2025-10-07T07:10:00,101.038,0.773,1190.956,2116.387
2025-10-07T22:30:00,32.779,0.953,627.071,192.779
2025-10-07T22:35:00,41.43,0.991,530.668,465.438
2025-10-07T22:40:00,42.062,0.952,1085.934,339.819
2025-10-07T22:45:00,33.343,0.975,322.806,253.188
2025-10-07T22:50:00,35.474,0.984,246.395,292.412
2025-10-07T22:55:00,55.81,0.965,708.371,911.94
2025-10-07T23:00:00,56.281,1.005,448.836,741.474
2025-10-07T23:05:00,51.879,0.986,337.253,505.219
2025-10-07T23:10:00,48.493,1.005,423.238,488.999
2025-10-07T23:15:00,53.435,0.916,655.12,494.943
2025-10-07T23:20:00,33.528,1.0,508.733,243.465
2025-10-07T23:25:00,50.76,0.921,2680.572,560.133
2025-10-07T23:30:00,55.429,0.955,1823.256,574.241
2025-10-07T23:35:00,62.152,1.004,1067.785,687.856
2025-10-07T23:40:00,39.184,0.966,861.477,293.877
2025-10-07T23:45:00,47.604,0.879,2127.611,659.868
2025-10-07T23:50:00,47.718,0.892,1222.345,436.81
2025-10-07T23:55:00,41.479,0.985,899.651,365.649
