timestamp,rmssd,coverage,low_frequency,high_frequency
2025-11-21T02:40:00,75.891,0.888,1650.972,1086.733
2025-11-21T02:45:00,81.379,0.912,1349.773,1176.084
2025-11-21T02:50:00,62.099,0.881,1272.533,626.706
2025-11-21T02:55:00,60.364,0.969,689.679,814.842
2025-11-21T03:00:00,50.906,0.994,706.34,457.477
2025-11-21T03:05:00,49.302,0.97,356.038,535.565
2025-11-21T03:10:00,49.555,0.966,667.701,468.535
2025-11-21T03:15:00,45.686,0.99,536.742,431.334
2025-11-21T03:20:00,53.099,0.979,1271.359,583.38
2025-11-21T03:25:00,51.679,1.003,735.137,547.112
2025-11-21T03:30:00,37.511,0.948,892.788,243.754
2025-11-21T03:35:00,47.027,0.889,3376.56,320.675
2025-11-21T03:40:00,43.904,0.957,963.228,322.162
2025-11-21T03:45:00,39.71,0.979,687.684,328.845
2025-11-21T03:50:00,38.117,0.979,609.508,324.957
2025-11-21T03:55:00,35.242,0.975,367.743,230.48
2025-11-21T04:00:00,38.443,0.968,372.207,297.42
2025-11-21T04:05:00,46.778,1.005,938.509,398.833
2025-11-21T04:10:00,52.431,0.864,2693.033,516.386
2025-11-21T04:15:00,40.751,1.005,543.349,331.557
2025-11-21T04:20:00,49.419,1.003,789.31,400.239
2025-11-21T04:25:00,49.873,0.977,630.823,403.387
2025-11-21T04:30:00,50.642,1.002,734.332,462.836
2025-11-21T04:35:00,52.287,1.006,989.036,466.821
2025-11-21T04:40:00,53.365,1.001,1200.187,452.316
2025-11-21T04:45:00,53.653,0.991,753.708,585.078
2025-11-21T04:50:00,60.879,0.912,1588.863,641.149
2025-11-21T04:55:00,79.422,0.966,5763.158,927.012
2025-11-21T05:00:00,59.605,1.004,1696.092,607.09
2025-11-21T05:05:00,42.693,1.002,1702.878,306.321
2025-11-21T05:10:00,54.716,0.988,2713.602,413.531
2025-11-21T05:15:00,62.694,0.945,4316.565,627.052
2025-11-21T05:20:00,51.605,1.006,971.516,355.559
2025-11-21T05:25:00,52.483,0.996,640.052,528.836
2025-11-21T05:30:00,57.332,0.91,3289.751,515.075
2025-11-21T05:35:00,46.845,1.005,482.851,393.206
2025-11-21T05:40:00,41.548,1.004,450.231,318.537
2025-11-21T05:45:00,45.161,0.971,473.543,377.95
2025-11-21T05:50:00,39.874,1.003,302.238,266.828
2025-11-21T05:55:00,50.229,0.946,1273.441,386.169
2025-11-21T06:05:00,52.496,1.003,3122.842,593.942
2025-11-21T06:10:00,42.844,0.959,1481.354,321.807
2025-11-21T06:15:00,58.697,0.886,3605.188,559.77
2025-11-21T06:20:00,71.268,0.896,1777.801,737.689
2025-11-21T06:25:00,76.066,0.799,2643.555,959.978
2025-11-21T06:30:00,72.445,0.982,2451.686,922.009
2025-11-21T06:35:00,63.123,0.971,3584.072,665.226
2025-11-21T06:40:00,62.687,1.003,1763.057,845.416
2025-11-21T06:45:00,68.266,0.894,5322.15,703.269
2025-11-21T06:50:00,79.656,0.906,4808.296,1530.715
2025-11-21T06:55:00,65.689,1.004,1558.919,871.105
2025-11-21T07:00:00,68.517,0.995,2206.904,935.848
2025-11-21T07:05:00,66.956,0.907,2595.286,609.693
2025-11-21T07:10:00,56.6,1.005,1161.943,605.292
2025-11-21T07:15:00,46.793,1.0,463.261,515.503
2025-11-21T07:20:00,81.809,0.903,9026.04,1408.087
2025-11-21T07:25:00,60.387,0.955,3136.637,555.07
2025-11-21T07:30:00,27.574,0.996,658.998,97.298
2025-11-21T07:35:00,52.66,0.829,2301.381,442.611
2025-11-21T07:40:00,31.125,0.983,2255.429,139.58
2025-11-21T07:45:00,49.239,0.951,2098.536,376.85
2025-11-21T07:50:00,67.785,0.892,3151.127,531.269
2025-11-21T07:55:00,60.501,0.78,1159.655,287.898
2025-11-21T08:00:00,68.441,0.884,4196.204,1211.299
2025-11-21T08:05:00,76.586,0.936,2815.422,1277.858
2025-11-21T08:10:00,67.752,1.004,1792.706,809.697
2025-11-21T08:15:00,63.955,0.989,2127.601,810.4
2025-11-21T08:20:00,57.402,0.949,1186.792,700.884
2025-11-21T08:25:00,82.341,1.003,11067.588,1177.557
2025-11-21T08:30:00,65.976,0.731,4689.986,528.838
2025-11-21T08:35:00,73.691,0.947,5277.273,1031.481
2025-11-21T08:40:00,53.697,0.934,1736.046,443.306
2025-11-21T08:45:00,50.735,0.989,2499.234,462.394
2025-11-21T08:50:00,52.647,0.87,2651.894,339.496
2025-11-21T08:55:00,68.79,0.878,3648.799,815.287
2025-11-21T09:00:00,72.845,0.743,2298.82,650.556
2025-11-21T09:10:00,44.002,0.942,779.34,387.124
2025-11-21T09:15:00,42.357,0.95,1414.778,332.926
2025-11-21T09:20:00,50.364,0.915,2202.8,933.418
2025-11-21T09:25:00,48.137,0.881,1774.669,388.099
2025-11-21T09:30:00,58.69,0.854,968.162,570.345
