timestamp,rmssd,coverage,low_frequency,high_frequency
2025-08-28T00:00:00,51.988,0.968,730.449,515.452
2025-08-28T00:05:00,59.171,0.999,1094.846,574.163
2025-08-28T00:10:00,58.985,0.881,588.317,430.612
2025-08-28T00:15:00,106.088,0.977,1498.865,1393.334
2025-08-28T00:20:00,104.88,1.003,1606.931,1573.474
2025-08-28T00:25:00,100.569,0.989,864.53,1313.905
2025-08-28T00:30:00,92.158,0.894,11474.757,1256.283
2025-08-28T00:35:00,61.722,1.004,903.822,651.616
2025-08-28T00:40:00,46.698,0.981,442.364,411.586
2025-08-28T00:45:00,78.55,0.897,3850.599,1047.431
2025-08-28T00:50:00,66.068,0.972,601.606,673.242
2025-08-28T00:55:00,66.212,1.0,319.773,696.19
2025-08-28T01:00:00,68.985,0.979,904.251,769.067
2025-08-28T01:05:00,68.921,0.877,2272.929,713.73
2025-08-28T01:10:00,48.927,0.961,2139.198,454.797
2025-08-28T01:15:00,30.025,1.003,722.036,163.614
2025-08-28T01:20:00,40.024,0.949,1805.405,480.353
2025-08-28T01:25:00,57.588,0.915,1906.892,578.198
2025-08-28T01:30:00,64.854,1.001,1227.884,712.964
2025-08-28T01:35:00,55.322,1.006,303.763,516.442
2025-08-28T01:40:00,65.735,1.0,631.358,709.257
2025-08-28T01:45:00,64.266,0.996,924.864,606.789
2025-08-28T01:50:00,75.612,1.001,453.182,949.298
2025-08-28T01:55:00,91.49,1.002,1352.629,1186.956
2025-08-28T02:00:00,60.398,0.995,499.64,464.864
2025-08-28T02:05:00,76.103,1.001,456.188,877.75
2025-08-28T02:10:00,72.403,0.846,472.836,660.784
2025-08-28T02:15:00,55.539,0.857,2068.492,476.378
2025-08-28T02:20:00,49.471,1.003,1436.123,340.527
2025-08-28T02:25:00,50.995,0.964,1372.852,444.412
2025-08-28T02:30:00,41.904,0.922,564.9,257.94
2025-08-28T02:35:00,37.147,0.979,1288.904,184.125
2025-08-28T02:40:00,87.659,0.906,1955.657,1071.195
2025-08-28T02:45:00,60.328,0.897,1494.178,422.336
2025-08-28T02:50:00,63.961,1.003,1160.107,622.47
2025-08-28T02:55:00,54.124,1.001,554.116,420.194
2025-08-28T03:00:00,46.363,1.004,302.78,318.835
2025-08-28T03:05:00,48.735,0.944,889.369,426.58
2025-08-28T03:10:00,49.871,1.001,670.628,323.267
2025-08-28T03:15:00,58.062,1.002,1103.246,456.035
2025-08-28T03:20:00,51.163,0.881,7214.932,451.921
2025-08-28T03:25:00,55.3,0.887,10510.691,582.32
2025-08-28T03:30:00,49.366,0.957,1076.824,434.143
2025-08-28T03:35:00,55.883,0.906,1591.749,426.39
2025-08-28T03:40:00,58.281,0.858,2700.593,504.06
2025-08-28T03:50:00,50.207,0.758,955.165,259.9
2025-08-28T03:55:00,32.459,0.949,1179.965,176.05
2025-08-28T04:00:00,40.982,0.928,1113.375,301.373
2025-08-28T04:05:00,31.853,1.004,901.945,206.186
2025-08-28T04:10:00,46.768,0.914,652.863,317.162
2025-08-28T04:15:00,51.783,0.889,2278.201,398.756
2025-08-28T04:20:00,62.151,0.937,1178.159,588.954
2025-08-28T04:25:00,57.074,0.974,1137.985,375.975
2025-08-28T04:30:00,56.409,0.97,2139.931,587.23
2025-08-28T04:35:00,41.557,1.001,673.944,235.566
2025-08-28T04:40:00,42.13,0.988,532.231,247.211
2025-08-28T04:45:00,44.839,0.966,2531.402,343.868
2025-08-28T04:50:00,49.372,0.94,1104.163,438.702
2025-08-28T04:55:00,54.871,0.836,1410.524,434.246
2025-08-28T05:00:00,44.029,1.001,454.511,281.386
2025-08-28T05:05:00,46.429,0.919,4582.418,618.461
2025-08-28T05:10:00,44.424,0.97,1342.483,373.99
2025-08-28T05:15:00,40.88,0.965,949.742,255.007
2025-08-28T05:20:00,62.387,0.843,5688.863,719.474
2025-08-28T05:25:00,67.798,0.93,2338.578,1031.679
2025-08-28T05:30:00,50.65,0.949,1626.726,318.582
2025-08-28T05:35:00,46.381,0.898,900.506,369.05
2025-08-28T05:40:00,86.477,0.927,3569.394,1108.792
2025-08-28T05:45:00,61.61,0.921,1203.45,445.053
2025-08-28T05:50:00,51.15,0.811,1389.851,414.235
2025-08-28T05:55:00,35.858,1.002,781.267,194.418
2025-08-28T06:00:00,59.592,0.809,2137.722,401.462
2025-08-28T06:05:00,52.146,0.804,1828.992,346.897
2025-08-28T06:10:00,64.802,0.957,1384.462,688.485
2025-08-28T06:15:00,68.777,1.003,1195.528,813.716
2025-08-28T06:25:00,79.721,0.888,6190.015,834.952
2025-08-28T06:30:00,82.846,0.834,3181.892,905.232
2025-08-28T06:35:00,84.942,0.928,6266.612,1174.858
2025-08-28T06:40:00,68.802,0.981,2429.995,719.618
2025-08-28T06:45:00,40.947,0.984,856.425,212.095
2025-08-28T06:50:00,47.495,1.003,1723.98,446.583
2025-08-28T06:55:00,40.733,0.961,2721.964,355.396
2025-08-28T07:00:00,29.321,0.924,1392.031,323.675
2025-08-28T07:05:00,48.573,0.917,1365.067,382.449
2025-08-28T07:10:00,38.542,0.939,2281.832,314.648
2025-08-28T07:15:00,39.155,1.004,1491.141,221.12
2025-08-28T07:20:00,67.49,0.823,3380.084,747.471
2025-08-28T07:25:00,58.976,0.901,935.71,615.209
2025-08-28T07:30:00,56.05,0.948,1881.341,463.641
2025-08-28T07:50:00,92.468,0.877,6019.765,1386.439
2025-08-28T07:55:00,76.208,0.937,3207.769,850.605
2025-08-28T23:45:00,55.527,0.887,832.006,322.887
2025-08-28T23:50:00,70.073,0.88,1567.861,837.367
2025-08-28T23:55:00,66.834,0.957,840.088,787.647
