timestamp,rmssd,coverage,low_frequency,high_frequency
2026-01-25T06:30:00,72.166,0.958,2369.426,713.313
2026-01-25T06:35:00,84.655,0.921,554.55,884.08
2026-01-25T06:40:00,84.859,0.959,486.33,1031.295
2026-01-25T06:45:00,86.868,0.873,476.504,1012.623
2026-01-25T06:50:00,94.097,0.792,2322.942,1021.212
2026-01-25T06:55:00,67.516,0.961,1817.95,848.862
2026-01-25T07:00:00,64.074,1.003,230.277,628.009
2026-01-25T07:05:00,76.708,1.002,366.914,1323.073
2026-01-25T07:10:00,70.185,0.996,257.12,836.001
2026-01-25T07:15:00,98.21,0.924,4029.424,1830.772
2026-01-25T07:20:00,80.975,1.004,2087.647,1048.39
2026-01-25T07:25:00,76.897,0.936,3406.752,881.49
2026-01-25T07:30:00,84.451,0.964,2065.248,1185.351
2026-01-25T07:35:00,106.126,1.005,3351.604,2462.358
2026-01-25T07:40:00,94.791,0.987,1272.523,1584.662
2026-01-25T07:45:00,96.93,0.977,974.282,1667.292
2026-01-25T07:50:00,95.756,0.991,642.305,1548.89
2026-01-25T07:55:00,111.297,0.875,5116.46,2376.48
2026-01-25T08:00:00,97.192,0.998,832.691,1385.536
2026-01-25T08:05:00,96.322,0.976,722.763,1452.58
2026-01-25T08:10:00,101.609,0.971,540.629,1473.456
2026-01-25T08:15:00,96.851,0.963,565.256,1381.356
2026-01-25T08:20:00,100.174,0.998,687.317,1827.209
2026-01-25T08:25:00,91.984,1.003,1604.3,1403.483
2026-01-25T08:30:00,49.649,0.988,1830.057,315.989
2026-01-25T08:35:00,107.874,0.909,3013.793,3001.16
2026-01-25T08:40:00,120.833,0.952,7526.793,2888.353
2026-01-25T08:45:00,89.974,1.004,3101.473,1087.522
2026-01-25T08:50:00,111.935,0.969,1758.283,1882.352
2026-01-25T08:55:00,114.122,0.968,1577.708,2244.502
2026-01-25T09:00:00,108.182,1.004,1066.243,2128.09
2026-01-25T09:05:00,95.546,1.003,496.957,1692.197
2026-01-25T09:10:00,111.166,0.904,4274.411,2648.737
2026-01-25T09:15:00,114.314,0.955,1515.98,1739.592
2026-01-25T09:35:00,119.19,0.723,6975.922,1589.116
2026-01-25T09:40:00,125.703,0.858,5098.955,2131.236
2026-01-25T09:45:00,136.04,0.959,6795.7,3266.428
2026-01-25T09:50:00,126.866,0.986,3735.075,2292.767
2026-01-25T09:55:00,136.427,0.77,5676.214,1592.869
2026-01-25T10:05:00,118.54,0.94,1183.516,2274.686
2026-01-25T10:10:00,107.652,0.935,9125.049,2249.104
2026-01-25T10:15:00,119.475,0.964,4555.735,2342.952
2026-01-25T10:20:00,114.91,0.931,1334.945,1592.049
2026-01-25T10:25:00,102.553,0.984,941.887,1364.982
2026-01-25T10:30:00,99.23,0.995,730.139,1492.565
2026-01-25T10:35:00,88.996,1.004,911.184,1702.398
2026-01-25T10:40:00,109.746,1.003,752.452,2177.003
2026-01-25T10:45:00,78.943,0.908,3920.629,843.576
2026-01-25T10:50:00,93.238,0.843,12733.658,1029.48
