timestamp,rmssd,coverage,low_frequency,high_frequency
2025-12-19T02:05:00,66.241,0.785,2181.66,442.72
2025-12-19T02:10:00,62.002,0.989,1614.996,754.467
2025-12-19T02:15:00,49.898,0.982,811.589,592.154
2025-12-19T02:20:00,51.075,0.964,902.538,526.141
2025-12-19T02:25:00,54.552,1.003,861.497,697.568
2025-12-19T02:30:00,60.858,1.002,969.27,955.356
2025-12-19T02:35:00,52.941,1.005,1227.946,718.412
2025-12-19T02:40:00,52.03,1.002,656.212,709.556
2025-12-19T02:45:00,50.882,1.004,614.637,648.212
2025-12-19T02:50:00,68.256,0.756,5005.622,728.14
2025-12-19T02:55:00,70.971,0.922,2049.709,1000.599
2025-12-19T03:00:00,68.559,0.992,1431.75,1189.713
2025-12-19T03:05:00,52.049,0.985,931.308,716.139
2025-12-19T03:10:00,40.781,0.944,1168.614,352.243
2025-12-19T03:15:00,49.227,0.983,1824.521,643.732
2025-12-19T03:20:00,52.851,0.88,840.105,1207.912
2025-12-19T03:25:00,50.345,0.948,1268.246,440.632
2025-12-19T03:30:00,58.763,1.003,2802.964,1024.388
2025-12-19T03:35:00,58.724,1.005,451.828,875.45
2025-12-19T03:40:00,82.874,1.001,716.13,1834.827
2025-12-19T03:45:00,94.882,1.005,435.849,2396.18
2025-12-19T03:50:00,97.789,1.002,691.799,2414.133
2025-12-19T03:55:00,96.05,1.004,929.058,2209.661
2025-12-19T04:00:00,71.672,0.899,3536.344,1299.828
2025-12-19T04:05:00,34.562,0.989,494.971,351.331
2025-12-19T04:10:00,34.467,1.003,402.517,380.684
2025-12-19T04:15:00,30.478,1.004,233.578,271.233
2025-12-19T04:20:00,32.587,1.003,346.544,277.422
2025-12-19T04:25:00,36.263,0.987,816.767,381.593
2025-12-19T04:30:00,42.214,0.937,1489.606,365.369
2025-12-19T04:35:00,20.35,1.003,200.589,61.761
2025-12-19T04:45:00,45.345,0.715,1403.674,411.865
2025-12-19T04:50:00,61.094,0.822,1446.892,1071.652
2025-12-19T04:55:00,52.253,0.94,1052.399,733.823
2025-12-19T05:00:00,49.384,0.942,779.352,517.445
2025-12-19T05:05:00,57.615,1.004,720.981,903.526
2025-12-19T05:10:00,57.383,1.0,289.422,985.211
2025-12-19T05:15:00,52.807,1.004,410.055,796.314
2025-12-19T05:20:00,53.782,1.003,450.276,791.239
2025-12-19T05:25:00,79.961,0.951,4844.971,2013.453
2025-12-19T05:30:00,102.893,0.866,2471.286,2414.902
2025-12-19T05:35:00,85.992,0.989,836.803,1771.19
2025-12-19T05:40:00,80.86,1.003,494.939,1520.699
