timestamp,rmssd,coverage,low_frequency,high_frequency
2025-11-07T01:10:00,25.82,0.99,789.647,187.925
2025-11-07T01:15:00,26.087,0.964,393.43,194.833
2025-11-07T01:20:00,27.489,1.005,475.525,210.567
2025-11-07T01:25:00,32.107,0.926,1071.784,280.254
2025-11-07T01:30:00,31.851,1.0,273.806,284.261
2025-11-07T01:35:00,35.043,1.003,563.799,287.673
2025-11-07T01:40:00,31.594,0.985,645.441,232.682
2025-11-07T01:45:00,36.218,0.973,662.143,253.873
2025-11-07T01:50:00,36.817,1.003,350.44,318.886
2025-11-07T01:55:00,32.942,1.004,228.802,279.792
2025-11-07T02:00:00,33.216,1.0,280.7,299.361
2025-11-07T02:05:00,41.722,0.941,1060.67,516.255
2025-11-07T02:10:00,30.821,0.951,624.992,216.567
2025-11-07T02:15:00,17.677,0.975,1205.067,87.516
2025-11-07T02:20:00,21.66,0.973,258.228,118.795
2025-11-07T02:25:00,25.42,1.003,388.446,164.442
2025-11-07T02:30:00,29.59,1.003,226.798,195.311
2025-11-07T02:35:00,30.159,1.0,639.017,179.54
2025-11-07T02:40:00,32.216,0.949,340.551,241.215
2025-11-07T02:45:00,39.925,1.003,587.575,336.811
2025-11-07T02:50:00,47.292,0.899,6017.285,440.515
2025-11-07T02:55:00,49.339,1.003,1256.596,601.524
2025-11-07T03:00:00,47.258,0.984,798.455,404.745
2025-11-07T03:05:00,46.725,0.939,823.04,403.625
2025-11-07T03:10:00,44.539,0.953,2228.099,531.949
2025-11-07T03:15:00,50.097,0.867,2043.799,370.016
2025-11-07T03:20:00,49.638,1.002,1405.238,562.795
2025-11-07T03:25:00,36.003,0.989,1793.562,177.174
2025-11-07T03:30:00,44.505,0.874,3985.479,382.279
2025-11-07T03:35:00,55.194,0.757,2293.252,482.062
2025-11-07T03:40:00,53.465,0.928,2447.532,533.23
2025-11-07T03:45:00,41.507,0.963,1000.127,329.731
2025-11-07T03:50:00,36.995,1.002,479.841,308.065
2025-11-07T03:55:00,44.127,0.932,2675.863,394.604
2025-11-07T04:00:00,64.332,0.976,2150.304,687.798
2025-11-07T04:05:00,54.661,1.002,1222.503,465.816
2025-11-07T04:10:00,51.897,1.005,1154.104,348.223
2025-11-07T04:15:00,53.195,0.999,957.593,504.649
2025-11-07T04:20:00,48.175,0.851,361.98,365.05
2025-11-07T04:25:00,48.209,0.981,2944.371,429.168
2025-11-07T04:30:00,53.712,0.79,1487.804,511.465
2025-11-07T04:35:00,54.544,0.94,1629.892,494.757
2025-11-07T04:40:00,32.474,1.004,325.09,181.798
2025-11-07T04:45:00,35.067,0.924,832.954,204.967
2025-11-07T04:50:00,41.195,0.876,1622.122,257.846
2025-11-07T04:55:00,55.598,0.896,940.97,701.711
2025-11-07T05:00:00,44.346,1.001,1637.59,324.91
2025-11-07T05:05:00,49.613,0.885,764.378,448.536
2025-11-07T05:10:00,57.259,0.879,3405.949,830.768
2025-11-07T05:15:00,58.835,0.865,964.862,591.618
2025-11-07T05:20:00,46.138,1.005,361.096,350.502
2025-11-07T05:25:00,61.971,0.986,1031.206,800.984
2025-11-07T05:30:00,47.236,1.003,910.613,461.773
2025-11-07T05:35:00,48.1,1.002,919.595,465.061
2025-11-07T05:40:00,53.482,1.004,1248.443,635.165
2025-11-07T05:45:00,60.697,0.999,1029.86,759.968
2025-11-07T05:50:00,52.979,1.005,705.762,514.885
2025-11-07T05:55:00,61.836,0.989,712.009,765.879
2025-11-07T06:00:00,61.446,0.725,1794.3,539.713
2025-11-07T06:05:00,44.047,0.977,1764.226,289.755
2025-11-07T06:10:00,40.004,0.883,1296.823,238.135
2025-11-07T06:15:00,56.579,0.865,1310.333,463.278
2025-11-07T06:20:00,66.337,0.796,1610.897,728.417
2025-11-07T06:25:00,61.781,0.849,2396.92,524.709
2025-11-07T06:30:00,72.088,1.006,1519.022,725.688
2025-11-07T06:35:00,58.172,0.967,2233.652,468.273
2025-11-07T06:40:00,36.63,0.951,1128.499,111.827
2025-11-07T06:45:00,44.257,0.939,1224.985,306.322
2025-11-07T06:50:00,50.099,0.932,2353.287,441.07
2025-11-07T06:55:00,70.351,0.935,7482.82,964.956
2025-11-07T07:00:00,73.724,0.854,2464.677,899.347
2025-11-07T07:05:00,91.486,0.907,1829.871,1466.924
2025-11-07T07:10:00,68.629,1.002,1598.749,880.232
2025-11-07T07:15:00,64.612,0.96,2904.351,673.867
2025-11-07T07:20:00,64.814,0.931,4007.714,665.415
2025-11-07T07:25:00,60.288,0.886,1001.122,513.49
2025-11-07T07:30:00,45.025,0.925,2132.186,614.715
2025-11-07T07:35:00,54.434,1.004,1070.396,565.898
2025-11-07T07:40:00,61.969,0.917,3023.051,1126.312
2025-11-07T07:45:00,60.284,0.917,2237.955,753.494
2025-11-07T23:20:00,41.354,0.94,1146.793,246.413
2025-11-07T23:25:00,47.912,0.939,706.033,401.197
2025-11-07T23:30:00,54.833,0.945,802.481,505.607
2025-11-07T23:35:00,61.466,0.987,1337.783,824.603
2025-11-07T23:40:00,58.137,0.951,450.359,620.01
2025-11-07T23:45:00,67.176,0.974,608.263,931.681
2025-11-07T23:50:00,59.427,0.969,1164.783,649.747
2025-11-07T23:55:00,55.573,0.965,713.463,662.061
